unique_id,Naive_RMSE,Naive_MAE,Naive_ME,Naive_SMAPE,SeasonalNaive_RMSE,SeasonalNaive_MAE,SeasonalNaive_ME,SeasonalNaive_SMAPE,AutoETS_RMSE,AutoETS_MAE,AutoETS_ME,AutoETS_SMAPE,AutoARIMA_RMSE,AutoARIMA_MAE,AutoARIMA_ME,AutoARIMA_SMAPE,LightGBM_RMSE,LightGBM_MAE,LightGBM_ME,LightGBM_SMAPE,NBEATS_RMSE,NBEATS_MAE,NBEATS_ME,NBEATS_SMAPE,NHITS_RMSE,NHITS_MAE,NHITS_ME,NHITS_SMAPE,TimeGPT_RMSE,TimeGPT_MAE,TimeGPT_ME,TimeGPT_SMAPE
hotel_21,0.10965119585548147,0.05961479960453266,0.059291581108829566,6.689228656760436,0.10964657994746772,0.05956726747281162,0.05918701041904328,6.6844735190373665,0.008059578107514894,0.006961110277205933,-0.002791373326441225,0.7040431966675506,0.00806244382660573,0.006964061519146287,-0.0027996368038742153,0.7043420682352212,0.20937623727249174,0.202272988574711,-0.202272988574711,22.96197290346574,0.08072955745547453,0.07190471785093741,-0.07190471785093741,7.6039330338096525,0.06493943796458168,0.058703237582766805,-0.058351705156306104,6.14687933015634,0.06541424956440416,0.04918913376719577,-0.008240940158730156,5.271025686519542
hotel_28,0.7432396101057304,0.6523504273504273,0.6522893772893772,117.22144067696503,0.7432396101057304,0.6523504273504273,0.6522893772893772,117.22144067696503,,,,,,,,,,,,,,,,,,,,,0.1281428942610868,0.048519051429257144,-0.01952065485158095,193.40826890200455
hotel_35,0.6260084016915566,0.5845567193223443,0.5845567193223443,89.65527145278777,0.6260084016915566,0.5845567193223443,0.5845567193223443,89.65527145278777,,,,,,,,,,,,,,,,,,,,,0.0963883143181178,0.0767122787142857,-0.01131298671428572,11.217495679759358
hotel_42,0.30824179445060146,0.24886179946908693,0.12251041805697678,38.62159961862884,0.30772157598648453,0.24826860049532115,0.12246592813394434,38.53442274778583,0.2467529895484672,0.21894012143023103,0.0017845116598188629,36.027424432488964,0.2475512104987127,0.2195632288475274,-0.0014151802247685927,36.13386921240064,0.2324906408822469,0.20633136648812062,-0.005547739697890868,34.46062646058796,0.23366587799973823,0.2031735845681489,0.05275458225871594,33.572326580851055,0.2355807188605413,0.20999657611339478,0.020121122264944804,34.751463164040075,0.2655243697425682,0.2182659793337189,0.008336051664545985,34.57734300242348
hotel_49,0.1958428148398917,0.1745770008857186,-0.14717217969343915,21.454142110045023,0.1958428148398917,0.1745770008857186,-0.14717217969343915,21.454142110045023,,,,,,,,,,,,,,,,,,,,,0.055310807592744676,0.045739761500935755,-0.006674966249532145,7.1658633432634735
hotel_56,0.24014942478710288,0.22656320287899234,-0.2132044855729066,26.936808261846103,0.24014942478710288,0.22656320287899234,-0.2132044855729066,26.936808261846103,,,,,,,,,,,,,,,,,,,,,0.09474333982036937,0.07487648095238096,-0.015913401142857133,8.41239130406466
hotel_63,0.20949548550774322,0.17357598466910207,0.052928079567755686,25.828172363191204,0.20935435008645417,0.1731852642783817,0.05297691961659574,25.783077188536467,0.1439708681800014,0.12612365420137275,-0.07055977383178877,15.395663594266459,0.12317874067199357,0.10814639354741075,-0.010164573701553678,13.164126558575468,0.1621265201042111,0.1383016370097602,-0.12410995761851172,17.28083747822233,0.10242363505666631,0.0809419304889346,-0.042703435581827924,10.09113484384598,0.1204769625589555,0.10206821434081549,-0.07337164103038728,12.501908461724852,0.12046640049159466,0.10246990326984129,0.016631749301587298,13.56537727002097
hotel_70,0.33613504825308255,0.2874593535119851,0.23300912537754642,48.34706859079646,0.33613504825308255,0.2874593535119851,0.23300912537754642,48.34706859079646,,,,,,,,,,,,,,,,,,,,,0.10237262203958561,0.08804512013032582,-0.061183114395989995,15.9130428347079
hotel_77,0.7670680648271377,0.7587315113781373,0.7561098849697779,188.76731547412925,0.7670680648271377,0.7587315113781373,0.7561098849697779,188.76731547412925,,,,,,,,,,,,,,,,,,,,,0.025797490474446325,0.024932974714285714,0.024932974714285714,200.0
hotel_84,0.2930838408175542,0.2319748814558503,0.08078659518105884,37.50392908628871,0.2932276476802763,0.23209529161086254,0.08070420928552416,37.53253005427897,0.17780016395857248,0.1561299113572911,0.02380689543311824,21.554442782776576,0.17721249816271004,0.15505638320679008,-0.015462231516050215,21.44414430916963,0.1660048766122373,0.13850367050722795,-0.06444911358346066,19.11975302369628,0.1473727910563468,0.11920269056086605,-0.0016137548104053806,16.982774079372785,0.15011697782537528,0.12498783211541895,0.042350303350376484,17.580499666635756,0.11521692762719193,0.09242134767770638,0.007062215893227876,11.118946573305708
hotel_91,0.22341310979995516,0.19109027514610502,0.029338635652542598,28.116303139516933,0.22341310979995516,0.19109027514610502,0.029338635652542598,28.116303139516933,,,,,,,,,,,,,,,,,,,,,0.10349660999966072,0.07909324548635634,0.003241186147672564,9.011252808913369
hotel_98,0.5506706701846589,0.5233197059293722,0.5233197059293722,114.44641382547903,0.5506706701846589,0.5233197059293722,0.5233197059293722,114.44641382547903,,,,,,,,,,,,,,,,,,,,,0.10420867649491622,0.07430532073732718,-0.008866001290322582,44.56396665030173
hotel_105,0.18042154730309895,0.15646432738552607,-0.03324874729196723,20.82982682013456,0.1813059715163401,0.15720153566990416,-0.03384772902302444,20.935186909270904,0.17868681890533267,0.16737172931416736,-0.15648295044724134,19.234084865459128,0.15994196434463204,0.14892842714163906,-0.13433720969873178,16.928771505034575,0.3182065040107096,0.3046579879065167,-0.3046579879065167,38.968022400095094,0.10379559399283077,0.09160939687720744,-0.07989501124390161,10.261265305857549,0.08546841935681979,0.0708620085281396,-0.04580029655124086,7.932227538565244,0.03960301918559568,0.031634616589398035,-0.018827638634321662,3.2775584050864435
hotel_112,0.12161340447575167,0.10479343769438108,-0.04352279010297875,12.426977636878842,0.12161340447575167,0.10479343769438108,-0.04352279010297875,12.426977636878842,,,,,,,,,,,,,,,,,,,,,0.11779999567297875,0.09653144542857144,0.020826249428571413,11.142145985059376
hotel_126,0.17460851592038526,0.1585189639763796,-0.08131493653556343,19.036285953059327,0.17460851592038526,0.1585189639763796,-0.08131493653556343,19.036285953059327,,,,,,,,,,,,,,,,,,,,,0.03624251998695139,0.02067461298577121,0.0021695898463289756,2.143805997153286
hotel_133,0.16332156670066517,0.1363750350759321,0.0094214992142614,17.51839096283071,0.16332156670066517,0.1363750350759321,0.0094214992142614,17.51839096283071,,,,,,,,,,,,,,,,,,,,,0.06618406228190273,0.055338043540983595,-0.012499570042154544,5.978633576406812
hotel_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1780201197647304,0.13295915647619047,-0.0034458814708994622,21.1127292647945
hotel_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1191834721088934,0.09249613748247978,-0.017324208059299174,15.400979113004198
hotel_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13276169219381653,0.11042879800465336,0.04534601573196835,20.822087873883998
